         45847068 function calls (45831328 primitive calls) in 3.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1307(disable)
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:199(_join)
        3    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_compile.py:477(_get_iscased)
        2    0.000    0.000    0.000    0.000 {method 'close' of 'generator' objects}
        4    0.000    0.000    0.000    0.000 {built-in function ord}
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/contextlib.py:337(__enter__)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:169(__setitem__)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of 'posix.ScandirIterator' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


